turma,ra,Maratona Matemática (5%),Prova Mensal I (35%),Prova Mensal II (35%),Prova Paulista (25%),Tarefas (Ponto Extra),Média Bimestral
7A,115750122,,,,,,
7A,115180213,,,,,,
7A,114992882,,,,,,
7A,114761124,,,,,,
7A,115118841,,,,,,
7A,115434014,,,,,,
7A,115122249,,,,,,
7A,115354881,,,,,,
7A,120081896,,,,,,
7A,115983107,,,,,,
7A,113718836,,,,,,
7A,114360321,,,,,,
7A,114185606,,,,,,
7A,114328617,,,,,,
7A,120068055,,,,,,
7A,120149981,,,,,,
7A,115325878,,,,,,
7A,116047250,,,,,,
7A,116679734,,,,,,
7A,116207220,,,,,,
7A,115124064,,,,,,
7A,116153309,,,,,,
7A,114770574,,,,,,
7A,115838130,,,,,,
7A,114753123,,,,,,
7A,115591390,,,,,,
7A,116047276,,,,,,
7A,115125434,,,,,,
7A,115562947,,,,,,
7A,115984115,,,,,,
7A,115152583,,,,,,
7A,115660834,,,,,,
7A,114892612,,,,,,
7A,120005202,,,,,,
7A,115842732,,,,,,
8A,115628904,,,,,,
8A,114832316,,,,,,
8A,112993070,,,,,,
8A,114302055,,,,,,
8A,114249613,,,,,,
8A,114727785,,,,,,
8A,116050700,,,,,,
8A,114953056,,,,,,
8A,114294722,,,,,,
8A,114302657,,,,,,
8A,113745420,,,,,,
8A,114383774,,,,,,
8A,114223084,,,,,,
8A,113611362,,,,,,
8A,113937011,,,,,,
8A,115817653,,,,,,
8A,111899434,,,,,,
8A,116038659,,,,,,
8A,114761235,,,,,,
8A,115150819,,,,,,
8A,126249326,,,,,,
8A,114749812,,,,,,
8A,115137713,,,,,,
8A,116206325,,,,,,
9A,114309858,,6.7,,,0,2.3
9A,112832873,,0.4,,,0,0.1
9A,112839758,,9.8,,,0.1,3.5
9A,111951272,,,,,,0
9A,113332067,,5.5,,,0.2,2.1
9A,113338429,,5,,,0.1,1.9
9A,113241014,,1,,,0,0.4
9A,114214177,,4.7,,,0.1,1.7
9A,113332071,,7.7,,,0,2.7
9A,115177094,,7.1,,,0.15,2.6
9A,115479018,,4.5,,,,1.6
9A,113396408,,6.8,,,0.15,2.5
9A,114057612,,0.4,,,0,0.1
9A,113387601,,3,,,0.2,1.3
9A,112276908,,7.7,,,0.1,2.8
9A,113306815,,4.2,,,0.2,1.7
9A,115139305,,8,,,0.2,3
9A,112425839,,7,,,0.2,2.7
9A,113325891,,8.1,,,0.18,3
9A,113156224,,4.1,,,0.1,1.5
9B,125990756,,0,,,,0
9B,114750188,,2.5,,,,0.9
9B,111468298,,1.6,,,,0.6
9B,114799915,,,,,,0
9B,114051049,,0,,,,0
9B,125755077,,1,,,,0.4
9B,114221652,,0.4,,,,0.1
9B,115152620,,0.4,,,,0.1
9B,110854905,,1.7,,,,0.6
9B,112673308,,1.8,,,,0.6
9B,114343506,,,,,,0
9B,114753469,,1.2,,,,0.4
9B,113306775,,0,,,,0
9B,113945010,,1,,,,0.4
9B,112268424,,4.2,,,,1.5
9B,114178913,,0.4,,,,0.1
9B,113309221,,5.5,,,,1.9
9B,115119440,,2.4,,,,0.8
DP,114221129,,0.4,,,,0.2
DP,112300250,,2.4,,,,1.2
DP,,,0.4,,,,0.2
p,111019651,,,,,,0
