turma,ra,Tarefa (10%),Prova Mensal I (35%),Prova Mensal II (35%),Prova Paulista (20%),Maratona (Ponto Extra),Média Bimestral
7A,115750122,,0.2,,,,0.1
7A,115180213,,9.8,,,,3.4
7A,114992882,,0.4,,,,0.1
7A,114761124,,4.8,,,,1.7
7A,115118841,,1.2,,,,0.4
7A,115434014,,2,,,,0.7
7A,115122249,,3,,,,1.1
7A,115354881,,3.9,,,,1.4
7A,120081896,,8.4,,,,2.9
7A,115983107,,4.3,,,,1.5
7A,113718836,,,,,,0
7A,114360321,,0,,,,0
7A,114185606,,3,,,,1.1
7A,114328617,,5.6,,,,2
7A,120068055,,0,,,,0
7A,120149981,,0,,,,0
7A,115325878,,3,,,,1.1
7A,116047250,,4.6,,,,1.6
7A,116679734,,7.5,,,,2.6
7A,116207220,,0.2,,,,0.1
7A,115124064,,6.6,,,,2.3
7A,116153309,,8.5,,,,3
7A,114770574,,,,,,0
7A,115838130,,8,,,,2.8
7A,114753123,,5.4,,,,1.9
7A,115591390,,6.1,,,,2.1
7A,116047276,,5.4,,,,1.9
7A,115125434,,10,,,0.2,3.5
7A,115562947,,1.7,,,,0.6
7A,115984115,,8,,,,2.8
7A,115152583,,0,,,,0
7A,115660834,,8,,,,2.8
7A,114892612,,,,,,0
7A,120005202,,0,,,,0
7A,115842732,,0.7,,,,0.2
7A,115779775,,0.2,,,,0.1
8A,115628904,,0,,,,0
8A,114832316,,,,,,0
8A,112993070,,0,,,,0
8A,114302055,,10,,,0.3,3.5
8A,114249613,,0,,,,0
8A,114727785,,8,,,,2.8
8A,116050700,,,,,,0
8A,114953056,,6.6,,,,2.3
8A,114294722,,5.5,,,,1.9
8A,114302657,,4.4,,,,1.5
8A,113745420,,10,,,0.5,3.5
8A,114383774,,3,,,,1.1
8A,114223084,,10,,,,3.5
8A,113611362,,3.3,,,,1.2
8A,113937011,,1.8,,,,0.6
8A,115817653,,7.3,,,,2.6
8A,111899434,,1.8,,,,0.6
8A,116038659,,6,,,,2.1
8A,114761235,,6.7,,,,2.3
8A,115150819,,1.3,,,,0.5
8A,126249326,,0.4,,,,0.1
8A,114749812,,10,,,2.7,3.5
8A,115137713,,0,,,,0
8A,116206325,,0.3,,,,0.1
8A,113950480,,0,,,,0
9A,114309858,,5.2,,,,1.8
9A,112832873,,0.9,,,,0.3
9A,112839758,,7.6,,,,2.7
9A,111951272,,5,,,,1.8
9A,113332067,,2.3,,,,0.8
9A,113338429,,2.2,,,,0.8
9A,113241014,,1.9,,,,0.7
9A,114214177,,2.7,,,,0.9
9A,113332071,,5.6,,,,2
9A,115177094,,8.2,,,,2.9
9A,115479018,,0.5,,,,0.2
9A,113396408,,7.1,,,,2.5
9A,114057612,,,,,,0
9A,113387601,,7.6,,,,2.7
9A,112276908,,5.4,,,,1.9
9A,113306815,,4.3,,,,1.5
9A,115139305,,8.7,,,,3
9A,112425839,,3.8,,,,1.3
9A,113325891,,6.7,,,,2.3
9A,113156224,,5,,,,1.8
9B,114750188,,2.8,,,,1
9B,111468298,,0.5,,,,0.2
9B,114799915,,5.5,,,,1.9
9B,114051049,,0,,,,0
9B,125755077,,1,,,,0.4
9B,114221652,,0,,,,0
9B,110854905,,0.3,,,,0.1
9B,112673308,,8,,,,2.8
9B,114753469,,0,,,,0
9B,113306775,,0,,,,0
9B,112268424,,8.8,,,,3.1
9B,114178913,,4.7,,,,1.6
9B,113309221,,7.5,,,,2.6
9B,115119440,,0,,,,0
9B,115591180,,0,,,,0
9B,112310090,,,,,,0
DP,114221129,,,,,,0
DP,111019651,,,,,,0
